Location,Track Name,Length,Rain,Early Dawn,Dawn,Sunrise,Early Morning,Late Morning,Afternoon,Evening,Sunset,Twilight,Night,Midnight,Dirt/Snow
Europe,24 Heures du Mans Racing Circuit Full Course,8.47,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Europe,24 Heures du Mans Racing Circuit No Chicane,8.43,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,
Europe,Alsace Test Course,1.32,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Alsace Test Course Reverse,1.32,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Alsace Village,3.37,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Alsace Village Reverse,3.37,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Autodrome Lago Maggiore Centre,1.06,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore Centre Reverse,1.06,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore East,2.26,,,,,Y,Y,Y,Y,Y,,,,
Europe,Autodrome Lago Maggiore East End,1.25,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore East End Reverse,1.25,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore East Reverse,2.26,,,,,Y,Y,Y,Y,Y,,,,
Europe,Autodrome Lago Maggiore Full Course,3.61,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore Full Course Reverse,3.61,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore West,2.59,,,,,Y,Y,Y,Y,Y,,,,
Europe,Autodrome Lago Maggiore West End,1.52,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore West End Reverse,1.52,,,,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodrome Lago Maggiore West Reverse,2.59,,,,,Y,Y,Y,Y,Y,,,,
Americas,Autodromo de Interlagos Full Course,2.68,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,
Europe,Autodromo Nazionale Monza Full Course,3.6,,,,,Y,Y,Y,Y,Y,,,,
Europe,Autodromo Nazionale Monza No Chicane,3.58,,,,,Y,Y,Y,Y,Y,,,,
Asia-Oceania,Autopolis Full Course,2.9,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Autopolis Shortcut Circuit,1.88,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Blue Moon Bay Speedway Full Course,1.99,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Blue Moon Bay Speedway Full Course Reverse,1.99,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Blue Moon Bay Speedway Infield A,2.08,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Blue Moon Bay Speedway Infield A Reverse,2.08,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Blue Moon Bay Speedway Infield B,1.78,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Americas,Blue Moon Bay Speedway Infield B Reverse,1.78,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Brands Hatch Grand Prix Circuit,2.45,,,,,Y,Y,Y,Y,Y,,,,
Europe,Brands Hatch Indy Circuit,1.21,,,,,Y,Y,Y,Y,Y,,,,
Asia-Oceania,Broad Bean Raceway Full Course,1.04,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Asia-Oceania,Broad Bean Raceway Full Course Reverse,1.04,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,
Europe,Circuit de Barcelona-Catalunya Grand Prix Layout,2.89,,,,,Y,Y,Y,Y,Y,Y,Y,,
